animal_id	WaterLost_CB	OMLost_CB	CO2Lost_CB	Phosphates_CB	Mineral_CB	Phosphates/OM_CB	CO3/Phosphates_CB	WaterLost_MB	OMLost_MB	CO2Lost_MB	Phosphates_MB	Mineral_MB	Phosphates/OM_MB	CO3/Phosphates_MB
400	8.19349	24.288	4.80468	62.71383	67.51851	2.58209	11.49191	9.83685	50.076	2.70051	37.38663	40.08715	0.7466	10.8348
401	8.44039	23.47171	5.23622	62.85168	68.08791	2.67776	12.49662	7.47709	63.02003	3.09788	26.405	29.50288	0.41899	17.59828
402	9.4742	22.79186	4.73498	62.99896	67.73394	2.7641	11.27395	9.8479	59.26424	2.07287	28.815	30.88787	0.48621	10.79057
405	8.52042	24.37718	4.65216	62.45024	67.1024	2.56183	11.17409	9.44517	55.96229	2.14225	32.45029	34.59254	0.57986	9.90246
407	8.67927	23.17732	4.42542	63.71799	68.14341	2.74915	10.41798	10.3388	39.95391	2.94827	46.75903	49.70729	1.17032	9.45785
408	9.0236	23.30692	4.86687	62.80261	67.66948	2.69459	11.62421	6.98744	58.81363	3.01127	31.18767	34.19894	0.53028	14.48297
409	9.95378	22.72059	4.27481	63.05082	67.32563	2.77505	10.16992	9.6578	54.95924	2.07307	33.30989	35.38296	0.60608	9.3354
412	8.94361	23.82671	5.08638	62.14329	67.22967	2.60813	12.2774	9.92943	44.27405	2.86437	42.93216	45.79652	0.96969	10.00777
413	9.82945	23.37655	4.84747	61.94652	66.794	2.64994	11.73788	7.22323	45.45102	3.23279	44.09296	47.32575	0.97012	10.99764
414	9.93824	22.52511	4.77224	62.7644	67.53664	2.78642	11.40513	7.36888	58.73905	3.95647	29.93559	33.89207	0.50964	19.82494
418	9.50796	23.70135	4.7246	62.0661	66.7907	2.61867	11.41832	6.25188	50.23466	4.52099	38.99247	43.51346	0.77621	17.39178
421	10.0267	22.57082	4.70337	62.69911	67.40248	2.77788	11.25225	10.113	54.33573	2.11903	33.43224	35.55127	0.61529	9.50743
422	8.94676	22.92494	4.97924	63.14906	68.1283	2.7546	11.82736	6.91276	52.03499	3.72075	37.33151	41.05225	0.71743	14.95017
423	10.28626	22.11633	4.57988	63.01753	67.59741	2.84937	10.90144	8.50789	62.69345	2.09082	26.70783	28.79866	0.42601	11.74276
1003	9.73342	23.72457	2.92483	63.61718	66.54201	2.68149	6.89632	9.51139	53.14759	2.36527	34.97575	37.34102	0.65809	10.14388
1006	9.80558	23.61175	2.8933	63.68937	66.58267	2.69736	6.81424	8.65835	66.61407	1.69617	23.03141	24.72758	0.34574	11.04689
1007	10.63299	23.72204	2.79442	62.85054	65.64496	2.64946	6.66921	10.86488	49.28554	2.53196	37.31762	39.84959	0.75717	10.17735
1008	10.25413	23.27203	2.66653	63.80731	66.47385	2.7418	6.26856	9.94879	38.00699	3.00415	49.04007	52.04422	1.29029	9.18885
1009	10.59465	23.30434	2.7695	63.33151	66.10101	2.71758	6.55952	10.84656	38.09151	3.4317	47.63023	51.06193	1.25042	10.80732
1010	9.34555	24.56647	3.23264	62.85533	66.08797	2.55858	7.71447	9.3746	55.6316	2.06827	32.92553	34.9938	0.59185	9.4225
1011	9.95893	24.88706	3.16968	61.98432	65.154	2.49062	7.67053	9.41477	56.51327	2.25702	31.81494	34.07196	0.56296	10.64132
1012	9.33635	24.80168	3.1045	62.75747	65.86197	2.53037	7.42022	10.52032	41.21496	2.72877	45.53595	48.26472	1.10484	8.98883
1013	9.68526	24.18197	2.969	63.16378	66.13278	2.61202	7.05071	8.74984	63.37661	2.47514	25.39841	27.87355	0.40075	14.61788
1014	9.83697	23.52374	2.96413	63.67516	66.63929	2.70685	6.98261	10.36407	50.88621	2.0207	36.72902	38.74972	0.72179	8.25246
1015	10.23987	24.18975	2.81601	62.75437	65.57038	2.59425	6.73103	10.19127	41.93763	3.32225	44.54886	47.8711	1.06226	11.1863
1016	10.16269	23.90418	2.98046	62.95267	65.93313	2.63354	7.10167	11.24336	49.11188	4.81597	34.82879	39.64475	0.70917	20.74132
1017	11.06456	23.31214	2.31347	63.30984	65.62331	2.71575	5.4813	10.10387	46.40159	2.73284	40.76171	43.49455	0.87846	10.05663
1019	10.36908	23.8639	2.84403	62.92298	65.76701	2.63674	6.7798	13.13661	50.03677	2.14437	34.68226	36.82662	0.69314	9.27433
1020	10.16314	23.47628	2.77929	63.58128	66.36057	2.70832	6.55687	10.33101	61.81386	1.87917	25.97595	27.85513	0.42023	10.85143
1022	10.2423	23.8462	2.70352	63.20797	65.91149	2.65065	6.41577	9.45213	57.09737	2.11406	31.33644	33.4505	0.54882	10.11948
1026	10.51795	23.86669	2.94452	62.67083	65.61535	2.62587	7.04759	10.07207	43.35069	2.43402	44.14322	46.57724	1.01828	8.27087
1027	9.83762	23.37482	2.92686	63.86069	66.78756	2.73203	6.8748	10.0186	50.00744	2.43676	37.5372	39.97396	0.75063	9.73736
1030	9.73575	23.55908	2.7764	63.92877	66.70518	2.71355	6.51444	11.30458	39.94076	2.69712	46.05753	48.75466	1.15315	8.78398
1031	10.26064	23.05666	2.61689	64.0658	66.68269	2.77862	6.12704	10.28593	42.759	3.17954	43.77553	46.95507	1.02377	10.89492
1032	10.56449	21.72334	2.69096	65.0212	67.71217	2.99315	6.20789	11.19101	33.40336	3.1553	52.25032	55.40562	1.56422	9.05822
1033	10.84384	24.34676	2.41073	62.39867	64.80939	2.56291	5.79514	10.95966	30.21715	3.5141	55.30909	58.82319	1.83039	9.53034
1035	10.22541	23.28673	2.80367	63.6842	66.48786	2.73479	6.60369	9.38031	61.35351	1.6991	27.56708	29.26618	0.44932	9.24526
1037	10.21354	23.52613	2.68822	63.57212	66.26033	2.70219	6.34292	10.83069	41.33443	2.76212	45.07277	47.83489	1.09044	9.1922
1038	9.92614	24.00255	2.89743	63.17388	66.07131	2.63196	6.87964	10.37618	40.42544	2.83923	46.35916	49.19839	1.14678	9.18663
1039	10.53217	24.2489	2.93905	62.27988	65.21893	2.56836	7.07864	9.53244	40.45148	2.84804	47.16805	50.01608	1.16604	9.0571
1042	9.46999	23.98544	3.10455	63.44002	66.54457	2.64494	7.34052							
1043	9.22323	24.03613	3.39871	63.34194	66.74065	2.63528	8.04848	10.96836	40.86337	2.69437	45.4739	48.16827	1.11283	8.88763
1044	10.61606	23.92999	2.76658	62.68738	65.45395	2.61962	6.61994	11.09804	41.02743	3.10363	44.77091	47.87453	1.09124	10.39836
1045	10.59822	23.28894	2.877	63.23584	66.11284	2.71527	6.82445	10.53834	42.97016	2.74168	43.74982	46.4915	1.01814	9.40009
1046	10.40388	23.63475	2.76614	63.19523	65.96137	2.67383	6.5657	9.92464	42.12525	2.82377	45.12635	47.95012	1.07124	9.38621
1047	10.49655	24.61311	2.73161	62.15874	64.89034	2.52543	6.59185	10.53966	41.20118	3.23191	45.02725	48.25916	1.09286	10.76652
1048	10.45485	24.21717	2.84233	62.48565	65.32798	2.58022	6.82315	9.78933	48.67772	2.13357	39.39937	41.53294	0.80939	8.12287
1049	9.88203	23.81289	2.94917	63.35591	66.30508	2.66057	6.98238	9.57798	54.88473	2.21146	33.32582	35.53728	0.6072	9.95381
1050	10.53815	22.69661	2.81383	63.95141	66.76524	2.81766	6.59993	10.88606	35.57654	3.36623	50.17116	53.5374	1.41023	10.06425
1052	10.12861	23.22988	2.76537	63.87614	66.64151	2.74974	6.4939	9.19193	61.45268	2.30658	27.0488	29.35538	0.44016	12.79119
1054	9.91879	23.78245	3.06146	63.2373	66.29876	2.65899	7.26184	11.11216	39.57529	3.20181	46.11074	49.31255	1.16514	10.4156
1055	10.5103	23.46483	2.5765	63.44837	66.02487	2.70398	6.09118	10.30063	50.81072	2.4042	36.48445	38.88865	0.71805	9.88447
1056	10.05448	24.14531	2.75868	63.04153	65.80022	2.61092	6.56397	10.35489	50.49767	2.26181	36.88564	39.14745	0.73044	9.19792
1059	10.06425	24.43942	2.77622	62.72012	65.49634	2.56635	6.63954	10.90261	41.66547	3.12635	44.30558	47.43193	1.06336	10.58451
1061	9.78818	23.43975	2.95936	63.81271	66.77207	2.72241	6.95636	9.57083	51.64049	2.45685	36.33183	38.78868	0.70355	10.14338
1062	10.59668	23.05889	2.4863	63.85813	66.34443	2.76935	5.84021	10.70898	46.14241	2.44582	40.70279	43.14861	0.88211	9.01346
1063	9.88778	23.81384	2.71351	63.58487	66.29838	2.67008	6.40131	9.78274	48.03137	2.32664	39.85925	42.18589	0.82986	8.75571
1064	10.58659	23.38977	2.82213	63.20152	66.02364	2.7021	6.69793	8.25498	69.99673	1.46295	20.28533	21.74828	0.2898	10.81782
1065	10.70147	23.67909	2.43815	63.18128	65.61943	2.66823	5.78846	12.25036	50	5.18902	32.56063	37.74964	0.65121	23.90471
1066	10.41509	22.85026	2.75231	63.98234	66.73464	2.80007	6.4525	10.20426	54.80416	2.15054	32.84104	34.99158	0.59924	9.82249
1067	10.34791	23.1178	3.31693	63.21736	66.53429	2.73458	7.87029	9.14243	58.28965	2.33084	30.23708	32.56792	0.51874	11.56283
1069	9.59452	23.87332	2.9214	63.61077	66.53216	2.66451	6.88892	10.52514	38.26584	3.87183	47.33719	51.20902	1.23706	12.26888
1070	9.57774	23.92477	2.86791	63.62958	66.49749	2.65957	6.7608	10.19141	46.91664	3.1207	39.77125	42.89195	0.8477	11.76994
1071	9.74515	24.22295	2.9753	63.0566	66.03189	2.60318	7.07768	11.00161	42.85499	3.4996	42.64381	46.1434	0.99507	12.30987
1072	10.12463	23.6437	2.84018	63.3915	66.23167	2.68112	6.72056	10.44776	43.94693	2.60214	43.00317	45.60531	0.97852	9.07657
1073	10.28137	23.57691	2.8842	63.25752	66.14172	2.68303	6.83919	10.58997	51.62949	1.94315	35.83739	37.78055	0.69413	8.13322
1074	10.6538	23.7047	2.60612	63.03538	65.6415	2.65919	6.20157	10.23563	47.96378	2.37303	39.42757	41.8006	0.82203	9.02807
1075	9.91739	24.57475	3.0064	62.50145	65.50785	2.54332	7.21519	10.79836	38.27507	3.28559	47.64099	50.92658	1.2447	10.34483
1076	10.64674	23.69092	2.78665	62.87569	65.66234	2.654	6.64801	9.56863	50.61436	2.59395	37.22306	39.81701	0.73542	10.453
1078	9.87753	24.13775	3.00093	62.98379	65.98472	2.60935	7.14691	9.92865	41.94186	3.17939	44.9501	48.12949	1.07172	10.60972
1079	9.71735	23.81085	3.15498	63.31682	66.4718	2.65916	7.47428	10.57195	46.02383	3.393	40.01123	43.40423	0.86936	12.72019
1080	9.42869	23.803	3.11263	63.65567	66.76831	2.67427	7.3347	9.18207	58.83975	1.90245	30.07573	31.97819	0.51115	9.48832
1082	9.74482	24.22467	2.5901	63.4404	66.0305	2.61883	6.12409							
1083	8.9988	24.284	3.11673	63.60048	66.71721	2.61903	7.35072	9.43812	52.3743	2.66975	35.51783	38.18758	0.67815	11.27495
1084	9.28543	23.51899	1.8396	65.35599	67.19559	2.77886	4.22211	7.21795	75.14718	1.96143	15.67344	17.63487	0.20857	18.77156
1085	9.84505	23.42387	2.79236	63.93873	66.73108	2.72964	6.55085	10.05264	42.51153	3.14977	44.28605	47.43582	1.04174	10.66849
1086	9.98049	21.78065	6.22762	62.01124	68.23886	2.84708	15.06409	10.7399	47.41998	4.85394	36.98618	41.84013	0.77997	19.6855
1087	9.6715	23.38513	2.9805	63.96287	66.94337	2.73519	6.9896	9.93834	45.01417	3.83312	41.21438	45.0475	0.91559	13.95067
1088	10.14885	23.41638	2.75116	63.68362	66.43478	2.71962	6.48007	9.6571	57.42533	2.11914	30.79843	32.91757	0.53632	10.32101
1089	10.59641	23.67713	3.38789	62.33857	65.72646	2.63286	8.152	10.7757	49.32732	1.98601	37.91098	39.89698	0.76856	7.85792
1090	10.97239	22.08665	2.90298	64.03798	66.94096	2.8994	6.79982	10.10856	45.46597	2.78324	41.64224	44.42547	0.9159	10.02553
1091	9.47977	23.82406	2.89921	63.79697	66.69617	2.67784	6.81664	10.34695	39.91378	3.76514	45.97413	49.73927	1.15184	12.28454
